px	py	pz	anchor
0.841	-1.000	0.540	T
0.909	-1.000	-0.416	T
0.141	-1.000	-0.990	T
-0.757	-1.000	-0.654	T
-0.959	-1.000	0.284	T
-0.279	-1.000	0.960	T
0.032	0.715	-0.027	F
0.128	0.774	-0.132	F
0.074	0.741	0.330	F
-0.033	0.697	-0.196	F
0.046	0.927	-0.429	F
0.342	0.776	0.262	F
-0.038	0.783	0.318	F
-0.234	0.573	-0.242	F
-0.231	0.676	-0.051	F
-0.011	0.725	-0.082	F
0.261	0.878	-0.268	F
0.124	0.873	0.423	F
0.017	0.727	0.106	F
-0.166	0.622	0.357	F
-0.042	0.726	-0.034	F
-0.157	0.660	0.187	F
-0.479	0.673	-0.097	F
-0.269	0.811	-0.240	F
-0.195	0.759	-0.021	F
-0.333	0.821	-0.341	F
-0.041	0.813	0.289	F
0.049	0.729	-0.020	F
-0.016	0.731	0.006	F
-0.325	0.834	0.049	F
